id,type,neighborhood,lot_area_m2,internal_area_m2,rooms,suites,bedrooms,parking_spaces,price_brl
334,house,Leblon,300.0,180.0,1,1,3,2,570000.0
335,apartment,Mercês,0.0,198.0,4,1,3,2,670000.0
336,house,Olinda,312.0,322.25,3,1,3,4,1300000.0
337,house,Jardim São Bento,336.0,292.0,1,4,4,4,1350000.0
338,land,Estância dos Ipês,300.0,0.0,0,0,0,0,360000.0
339,land,Cyrela Landscape II (Residencial Vitória),442.0,0.0,0,0,0,0,290000.0
340,apartment,Conjunto Guanabara,0.0,117.0,1,1,2,2,730000.0
341,land,Loteamento Residencial Damha Fit,289.0,0.0,0,0,0,0,225000.0
342,land,Loteamento Residencial Damha Fit,250.0,0.0,0,0,0,0,210000.0
343,house,Parque das Laranjeiras,0.0,150.0,0,2,2,6,750000.0
344,house,Pacaembu,200.0,140.0,1,2,3,2,430000.0
345,house,Residencial Presidente Tancredo Neves,248.0,54.0,2,0,2,4,315000.0
346,house,Damha Residencial Uberaba II,395.85,319.0,3,4,4,4,3350000.0
347,house,Olinda,624.0,428.0,3,3,3,4,1300000.0
348,house,Residencial Filinha Mendes,200.0,120.0,1,1,3,3,455000.0
349,land,Estância dos Ipês,388.77,0.0,0,0,0,0,505500.0
350,land,Estância dos Ipês,300.0,0.0,0,0,0,0,330000.0
351,land,Condomínio Ayat Club Residence II,250.0,0.0,0,0,0,0,250000.0
352,house,Vila Frei Eugênio,300.0,205.0,2,1,3,2,950000.0
353,apartment,Olinda,0.0,85.0,1,1,3,1,260000.0
354,land,Oneida Mendes,570.0,0.0,0,0,0,0,840000.0
355,house,Estância dos Ipês,360.0,215.8,1,3,3,4,2000000.0
356,apartment,Jardim do Lago,0.0,116.0,1,3,3,2,950000.0
357,house,Jardim Espanha,200.0,72.0,1,0,2,2,270000.0
358,apartment,Parque do Mirante,0.0,100.64,1,1,3,2,990000.0
359,house,Jardim Espanha,200.0,121.01,1,0,3,3,320000.0
360,apartment,Parque do Mirante,0.0,100.64,1,1,3,2,980000.0
361,other,Parque do Mirante,0.0,100.64,1,3,3,2,1010000.0
362,apartment,Parque do Mirante,0.0,100.64,1,2,2,2,1030000.0
363,apartment,Parque do Mirante,0.0,100.64,1,1,3,2,940000.0
364,apartment,Parque do Mirante,0.0,50.0,1,0,2,1,240000.0
365,land,Loteamento Residencial Damha Fit,250.0,0.0,0,0,0,0,220000.0
366,house,Damha Residencial Uberaba II,475.54,258.65,1,4,4,4,2250000.0
367,land,Loteamento Residencial Damha Fit,250.0,0.0,0,0,0,0,210000.0
368,other,Jardim do Lago,0.0,102.0,1,3,3,0,850000.0
369,land,Vila Celeste,1092.28,0.0,0,0,0,0,650000.0
370,land,Condomínio Ayat Club Residence II,250.0,0.0,0,0,0,0,215000.0
371,apartment,Parque do Mirante,0.0,100.64,1,1,3,2,980000.0
372,house,Parque das Laranjeiras II,250.0,123.99,2,1,3,6,645000.0
373,other,Mercês,460.45,436.97,3,1,3,2,980000.0
374,apartment,Parque do Mirante,1797.47,97.99,1,1,3,2,590000.0
375,house,Olinda,312.0,218.4,2,1,4,5,550000.0
376,apartment,Olinda,0.0,77.0,2,1,2,1,199000.0
377,apartment,Santa Maria,960.0,80.0,1,1,2,2,330000.0
378,house,Nossa Senhora da Abadia,250.0,167.0,1,2,3,4,570000.0
