id,tipo,bairro,area_lote,area_interna,salas,suites,quartos,vagas,preco
118,terreno,Cyrela Landscape II (Residencial Vitória),405.0,0.0,0,0,0,0,350000.0
119,terreno,Residencial Jardins,388.0,0.0,0,0,0,0,390000.0
120,terreno,Residencial Mário de Almeida Franco,2000.0,0.0,0,0,0,0,750000.0
121,casa,Boa Vista,269.5,177.0,0,0,0,0,600000.0
122,apartamento,Maria Helena - Vila,0.0,162.88,2,1,3,2,520000.0
123,terreno,Fabrício,321.8,0.0,0,0,0,0,150000.0
124,terreno,Fabrício,355.79,0.0,0,0,0,0,150000.0
125,apartameto,Olinda,0.0,85.4,1,0,2,1,360000.0
126,lote,Damha Residencial Uberaba III,408.47,0.0,0,0,0,0,550000.0
127,casa,Condomínio Ayat Club Residence,220.0,188.0,2,3,3,2,1100000.0
128,casa,Olinda,325.0,151.0,1,3,3,3,850000.0
129,terreno,Loteamento Residencial Damha Fit,250.0,0.0,0,0,0,0,210000.0
130,casa,Vila Militar,200.0,255.0,2,1,3,0,750000.0
131,casa,Nossa Senhora da Abadia,135.22,173.0,1,1,2,3,530000.0
132,casa,Vila de Barcelona,360.0,277.08,1,1,3,4,1400000.0
133,terreno,Fabrício,322.8,0.0,0,0,0,0,150000.0
134,casa,Boa Vista,0.0,150.0,3,1,2,1,330000.0
135,apartamento,Mercês,0.0,90.0,1,0,2,2,350000.0
136,casa,Nossa Senhora da Abadia,0.0,180.0,2,0,2,0,310000.0
137,apartamento,Vila Olímpica,0.0,169.0,2,1,3,2,630000.0
138,apartamento,Santa Marta,0.0,130.0,1,2,2,2,1000000.0
139,apartamento,Fabrício,0.0,115.0,1,3,3,2,720000.0
140,apartamento,Santa Maria,0.0,99.0,1,1,3,2,640000.0
141,casa,Jardim Nenê Gomes,250.0,173.56,1,1,3,3,650000.0
142,casa,Condomínio Ayat Club Residence,231.5,186.25,1,4,4,2,1200000.0
143,apartamento,Estados Unidos,0.0,79.07,1,0,2,1,300000.0
144,terreno,Mercês,614.9,0.0,0,0,0,0,350000.0
145,casa,Jardim São Bento,320.0,248.68,2,2,4,3,850000.0
146,lote,Residencial Mário de Almeida Franco,2000.0,2000.0,0,0,0,0,680000.0
147,casa,Estância dos Ipês,394.08,214.42,1,3,3,4,2150000.0
148,casa,Jardim do Lago,0.0,100.0,1,3,0,4,1500000.0
149,apartamento,Irmãos Soares,0.0,138.0,1,3,3,2,1050000.0
150,casa,Parque das Laranjeiras,0.0,90.0,1,0,2,2,310000.0
151,casa,Damha Residencial Uberaba I,470.0,300.0,1,4,4,4,3500000.0
152,casa,Jardim do Lago,507.0,300.0,1,4,4,6,2600000.0
153,apartamento,Vila Olímpica,0.0,189.6,1,1,3,2,600000.0
154,casa,Damha Residencial Uberaba I,399.0,210.0,1,1,4,6,1600000.0
155,lote,Loteamento Residencial Damha Fit,350.0,0.0,0,0,0,0,290000.0
156,casa,Parque das Laranjeiras II,255.0,165.0,1,1,2,2,430000.0
157,casa,Cyrela Landscape,448.13,223.05,2,4,4,4,2380000.0
158,apartamento,Jardim Esplanada,0.0,52.0,1,0,2,1,270000.0
159,casa,Parque do Mirante,675.0,420.0,2,2,4,5,1300000.0
160,casa,Nossa Senhora da Abadia,940.0,540.0,3,2,4,2,1350000.0
161,apartamento,São Sebastião,0.0,310.0,4,4,4,3,1300000.0
162,terreno,Vila Celeste,431.0,0.0,0,0,0,0,330000.0
163,casa,Flamboyant III Resid. Park,300.0,247.87,3,4,4,4,1950000.0
164,lote,Recreio dos Bandeirantes,250.0,0.0,0,0,0,0,240000.0
165,lote,Cyrela Landscape,428.91,0.0,0,0,0,0,375000.0
166,terreno,Recreio dos Bandeirantes,392.45,0.0,0,0,0,0,550000.0
167,terreno,Recreio dos Bandeirantes,378.0,0.0,0,0,0,0,500000.0
168,terreno,Condomínio Ayat Club Residence II,250.0,0.0,0,0,0,0,270000.0
169,casa,Condomínio Residencial Baronesa,753.84,540.03,3,4,4,4,5000000.0
170,casa,Condomínio Buritis,0.0,430.0,3,3,4,2,2500000.0
171,terreno,Vila Celeste,300.0,0.0,0,0,0,0,250000.0
172,casa,Cyrela Landscape,421.61,210.77,1,3,3,4,1850000.0
173,terreno,Condomínio Ayat Club Residence II,250.0,0.0,0,0,0,0,250000.0
174,lote,Residencial Jardins,447.41,0.0,0,0,0,0,430000.0
175,terreno,Cyrela Landscape,449.5,0.0,0,0,0,0,440000.0
176,lote,Cyrela Landscape,464.83,0.0,0,0,0,0,380000.0
177,terreno,Flamboyant Residencial Park,396.0,0.0,0,0,0,0,780000.0
178,casa,Jardim Induberaba,164.0,234.0,1,2,3,4,470000.0
179,casa,Jardim São Bento,336.0,218.0,2,1,4,4,530000.0
180,apartamento,Estados Unidos,0.0,150.0,3,1,3,2,490000.0
181,apartamento,Irmãos Soares,0.0,125.39,1,2,3,2,550000.0
182,casa,Olinda,975.0,538.0,2,2,4,5,1850000.0
183,casa,Damha Residencial Uberaba I,390.0,219.75,3,3,3,4,1850000.0
184,casa,Conjunto Cássio Rezende,0.0,187.35,0,0,0,3,350000.0
185,casa,Cidade Jardim,300.0,310.37,3,3,5,4,750000.0
186,apartamento,Centro,0.0,178.0,1,3,3,3,1500000.0
